"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"
"2011-02-28T17:27:17"	"1298914037"	"Mind On Vacation"	"b2dc23e5-ef49-443d-bc3b-dd85e23c4ac6"	"Vaya Con Dios"	"3f31e084-41f5-4a74-93e6-19bdafcf237d"	"Mind On Vacation"	"b2dc23e5-ef49-443d-bc3b-dd85e23c4ac6"	"Vaya Con Dios"	"3f31e084-41f5-4a74-93e6-19bdafcf237d"
"2011-05-26T12:18:35"	"1306412315"	"Silent Night"	"05fda5f2-9860-4f4a-8e16-2d0cdf7fc792"	"Ronan Keating"	"f1cd545b-f17b-4d3a-98de-68b695bfe211"	"Silent Night"	"05fda5f2-9860-4f4a-8e16-2d0cdf7fc792"	"Ronan Keating"	"f1cd545b-f17b-4d3a-98de-68b695bfe211"
"2011-07-10T18:31:14"	"1310322674"	"Try"	"1b62225e-a4b8-489d-8c18-20cf3ece6ff6"	"Nelly Furtado"	"13655113-cd16-4b43-9dca-cadbbf26ee05"	"Try"	"1b62225e-a4b8-489d-8c18-20cf3ece6ff6"	"Nelly Furtado"	"13655113-cd16-4b43-9dca-cadbbf26ee05"
"2011-07-10T18:45:19"	"1310323519"	"You Were Meant For Me"	"523988e5-b524-49d0-9aba-58c86a54b99a"	"Jewel"	"050307fc-c4ab-43e4-b7e0-96a455c9ca3d"	"You Were Meant For Me"	"523988e5-b524-49d0-9aba-58c86a54b99a"	"Jewel"	"050307fc-c4ab-43e4-b7e0-96a455c9ca3d"
"2011-07-13T16:39:45"	"1310575185"	"Охотники"	"30c7bf9a-eba3-449f-b4aa-e95ca99ee3b4"	"Смысловые Галлюцинации"	""	"Охотники"	"30c7bf9a-eba3-449f-b4aa-e95ca99ee3b4"	"Смысловые Галлюцинации"	""
"2011-07-13T16:52:21"	"1310575941"	"So Long Sally"	""	"Countdown"	"228d0245-e304-4668-b14d-a50c1b4a5152"	"So Long Sally"	""	"Countdown"	"228d0245-e304-4668-b14d-a50c1b4a5152"
"2011-07-13T16:52:30"	"1310575950"	"Ладони"	""	"После 11"	"22379c30-c4fe-4deb-82e0-4bbb6993eb76"	"Ладони"	""	"После 11"	"22379c30-c4fe-4deb-82e0-4bbb6993eb76"
"2011-07-13T16:52:56"	"1310575976"	"Просто помни"	"05c709fa-b4f4-4938-8819-5564cc10aa7f"	"Зимовье Зверей"	"a471e3dc-d254-4d2d-a00b-aacf1f2d52c1"	"Просто помни"	"05c709fa-b4f4-4938-8819-5564cc10aa7f"	"Зимовье Зверей"	"a471e3dc-d254-4d2d-a00b-aacf1f2d52c1"
"2011-07-25T20:00:43"	"1311624043"	"Doce Vampiro"	"0761a9f5-8ec0-4df9-a80b-12ee152349a3"	"Rita Lee"	"3f962bf0-42a0-45a0-830f-07b66301d35f"	"Doce Vampiro"	"0761a9f5-8ec0-4df9-a80b-12ee152349a3"	"Rita Lee"	"3f962bf0-42a0-45a0-830f-07b66301d35f"
"2011-07-25T20:36:47"	"1311626207"	"King of the Night"	"5a4d0ecf-1d2b-43ad-918a-6c77a66603c3"	"Copacabana Club"	"a5934845-e473-4f0f-aa2e-8671f457767e"	"King of the Night"	"5a4d0ecf-1d2b-43ad-918a-6c77a66603c3"	"Copacabana Club"	"a5934845-e473-4f0f-aa2e-8671f457767e"
"2011-08-25T11:10:46"	"1314270646"	"Kara Niny"	""	"Gaba Kulka"	""	"Kara Niny"	""	"Gaba Kulka"	""
"2011-08-26T09:24:27"	"1314350667"	"Double-Barrel Prayer"	""	"Diamanda Galás"	"f569a00a-a5d4-4269-b383-e125a0b515a4"	"Double-Barrel Prayer"	""	"Diamanda Galás"	"f569a00a-a5d4-4269-b383-e125a0b515a4"
"2011-09-05T14:00:36"	"1315231236"	"In Our Sleep"	"0604129d-ef2d-4973-944b-dbd4d087d2eb"	"Laurie Anderson"	"79cb7cf0-a815-4f23-ab76-64a08f2f0631"	"In Our Sleep"	"0604129d-ef2d-4973-944b-dbd4d087d2eb"	"Laurie Anderson"	"79cb7cf0-a815-4f23-ab76-64a08f2f0631"
"2011-09-09T11:02:04"	"1315566124"	"Pandora's Box"	"d8bd0aef-305e-4b03-8166-685c9764fdd9"	"Orchestral Manoeuvres in the Dark"	"50cda094-69f1-4141-b2d6-515b9e15d2be"	"Pandora's Box"	"d8bd0aef-305e-4b03-8166-685c9764fdd9"	"Orchestral Manoeuvres in the Dark"	"50cda094-69f1-4141-b2d6-515b9e15d2be"
"2011-09-10T13:26:46"	"1315661206"	"Accelerator"	"7636e7a9-b2a0-43c5-a308-3de32df647c4"	"Primal Scream"	"55704c38-224f-4b75-b29f-d43653f8bc9a"	"Accelerator"	"7636e7a9-b2a0-43c5-a308-3de32df647c4"	"Primal Scream"	"55704c38-224f-4b75-b29f-d43653f8bc9a"
"2011-10-21T10:33:49"	"1319193229"	"Kill 'em all"	""	"Chuck"	"02aeb7e7-cafe-4c09-91a6-8db34ea6b0cd"	"Kill 'em all"	""	"Chuck"	"02aeb7e7-cafe-4c09-91a6-8db34ea6b0cd"
